,year,region,no_accidents,no_dead,no_injured,no_licenses
0,2016,Al-Baha,3618,185,1227,4614
1,2016,Al-Jouf,10212,245,920,9371
2,2016,Al-Qaseem,25664,397,1513,9180
3,2016,Assir,32684,983,2541,41367
4,2016,Eastern Region,101619,1113,4893,142307
5,2016,Hail,10199,299,932,54507
6,2016,Jazan,25873,514,2259,11504
7,2016,Madinah,14475,822,4184,24540
8,2016,Makkah,134838,2243,12383,136055
9,2016,Najran,3235,173,706,2153
10,2016,Northern Boarder,13196,193,631,4958
11,2016,Riyadh,141736,1430,4207,242851
12,2016,Tabouk,16031,434,1724,13610
13,2017,Al-Baha,1414,134,1007,4131
14,2017,Al-Jouf,10469,240,862,8091
15,2017,Al-Qaseem,22405,319,1446,6318
16,2017,Assir,25245,828,2368,39133
17,2017,Eastern Region,81433,963,4073,126816
18,2017,Hail,9379,265,773,22035
19,2017,Jazan,22161,466,2207,18345
20,2017,Madinah,16070,580,2917,36165
21,2017,Makkah,145541,1641,10623,142487
22,2017,Najran,3193,194,766,13825
23,2017,Northern Boarder,11540,112,374,5280
24,2017,Riyadh,99925,1399,4540,495307
25,2017,Tabouk,11713,348,1243,10232
